word_english,semantic_category,letters_N,frequency_CELEX,valence_M
abandoned,AgP,9,2,-2.1
abashed,StimExp,7,0,-1.5
abhorred,ExpStim,8,3,-1.2
acclaimed,AgEvo,9,35,1.3
accompanied,AgP,11,36,0.9
accused,AgEvo,7,90,-2
admired,ExpStim,7,74,2
admonished,AgP,10,1,-0.4
adored,ExpStim,6,18,2.5
advised,AgP,7,73,1
affected,StimExp,8,95,0.2
affronted,StimExp,9,30,-1
aggravated,StimExp,10,7,-2.1
agitated,StimExp,8,25,-1.4
alarmed,StimExp,7,0,-2
alienated,AgP,9,21,-1.9
amazed,StimExp,6,4,1.6
amused,StimExp,6,7,2
angered,StimExp,7,11,-2.5
annoyed,StimExp,7,268,-2
answered,AgP,8,280,0.6
antagonized,StimExp,11,1,-1.4
apologized to,AgEvo,10,57,0
appalled,StimExp,8,32,-2.5
appeased,StimExp,8,5,1.1
applauded,AgEvo,9,12,1.8
appreciated,ExpStim,11,94,2.5
approached,AgP,10,75,0.7
astonished,StimExp,10,13,0.8
astounded,StimExp,9,0,1.1
attracted,StimExp,9,1,1.8
avoided,AgP,7,68,-1.1
baffled,StimExp,7,1,-0.9
banished,AgP,8,9,-2.2
battled,AgP,7,6,-2
beguiled,StimExp,8,108,-0.7
believed,ExpStim,8,337,1.5
betrayed,AgP,8,7,-2.5
bewildered,StimExp,10,107,-0.6
blamed,AgEvo,6,41,-2
blessed,AgEvo,7,47,2.4
bored,StimExp,5,19,-1.6
bothered,StimExp,8,71,-1.4
bugged,StimExp,6,4,-1
called,AgP,6,15,0.5
calmed,StimExp,6,153,1.6
calmed down,AgP,6,0,0.3
captivated,StimExp,10,46,0.4
caressed,AgP,8,5,1.5
carried,AgP,7,0,0.1
castigated,AgEvo,10,1,-1.4
caught,AgP,6,124,-0.2
cautioned,AgP,9,191,-0.8
celebrated,AgEvo,10,48,2.7
censured,AgEvo,8,39,-0.9
charmed,StimExp,7,418,2
chased,AgP,6,28,-0.8
chastened,AgEvo,9,0,-0.6
chastized,AgEvo,9,0,-1.5
cheated,AgP,7,17,-2.4
cheered,StimExp,7,48,2.2
cherished,ExpStim,9,13,2.4
chided,AgEvo,6,1,-1.1
chilled,StimExp,7,7,-0.7
comforted,StimExp,9,612,2.4
commended,AgEvo,9,10,1.6
compensated,AgP,11,44,0.8
complemented,AgP,12,4,1.8
complimented,AgEvo,12,113,2.4
concerned,StimExp,9,36,-1
condemned,AgEvo,9,34,-1.8
confessed to,AgP,9,92,-0.6
confided in,AgP,8,0,1.9
confounded,StimExp,10,20,-0.7
confused,StimExp,8,16,-1.1
congratulated,AgEvo,13,17,1.8
consoled,StimExp,8,34,1.5
consulted,AgP,9,68,0.4
corrected,AgP,9,37,0.9
corrupted,AgP,9,21,-2.6
counseled,AgP,9,184,0.4
courted,AgP,7,5,0.1
criticized,AgEvo,10,36,-2.1
cuddled,AgP,7,5,2.5
dated,AgP,5,0,1.4
daunted,StimExp,7,14,-1.2
debated with,AgP,7,18,-0.6
deceived,AgP,8,0,-2.7
decried,AgEvo,7,0,-0.6
defamed,AgEvo,7,1,-1.6
defied,AgP,6,8,-1.3
delighted,StimExp,9,57,2.5
denigrated,AgEvo,10,0,-1.1
denounced,AgEvo,9,10,-1.5
deplored,ExpStim,8,10,-1.8
deprecated,AgEvo,10,0,-1.6
derided,AgEvo,7,3,-0.8
deserted,AgP,8,13,-2.2
despised,ExpStim,8,23,-2.8
detested,ExpStim,8,10,-2.6
disappointed,StimExp,12,3,-2
discouraged,StimExp,11,666,-1.5
disdained,ExpStim,9,55,-2.1
disgruntled,StimExp,11,58,-1.5
disliked,ExpStim,8,166,-1.6
disobeyed,AgP,9,10,-1.4
disparaged,AgEvo,10,0,-1.5
distracted,StimExp,10,1,-1.1
distressed,StimExp,10,1,-2.6
distrusted,ExpStim,10,63,-2.1
divorced,AgP,8,42,-2.7
dominated,AgP,9,337,-1.4
dreaded,ExpStim,7,99,-2.7
dreamed about,ExpStim,7,24,1.7
dumbfounded,StimExp,11,0,-1
echoed,AgP,6,33,0.4
embraced,AgP,8,0,2
employed,AgP,8,27,1
encouraged,StimExp,10,2,2.3
enlightened,StimExp,11,2,1
enlivened,StimExp,9,79,1.2
enraged,StimExp,7,25,-2.4
enthralled,StimExp,10,6,0.9
enticed,StimExp,7,3,1
entranced,StimExp,9,9,0.6
envied,ExpStim,6,245,-1.8
escorted,AgP,8,114,0
esteemed,ExpStim,8,66,0.9
exalted,AgP,7,0,-0.5
exasperated,StimExp,11,3,-1.6
excited,StimExp,7,1,1.7
excused,AgEvo,7,381,-0.1
