"uk_cue","uk_fake_cue","uk_target","uk_fake_target","en_cue","en_target"
"смішний","смскний","абсурдний","абсуахний","ridiculous","absurd"
"інцидент","інходент","аварія","аварби","incident","accident"
"потяг","подлг","автобус","автокас","train","bus"
"фірма","фізка","агентство","кбентство","firm","agency"
"менеджмент","жирівництво","адміністративний","офміністративний","management","administrative"
"гормон","гоміон","адреналін","адтоналін","hormone","adrenaline"
"число","вусло","адреса","шуреса","number","address"
"термінал","термювал","аеропорт","жщропорт","terminal","airport"
"жест","жеве","акт","чёт","gesture","act"
"тригер","тремер","активувати","язтивувати","trigger","activate"
"автор","фотор","актор","умтор","author","actor"
"голос","гопас","акцент","аккунт","voice","accent"
"кут","ект","алея","алаш","corner","alley"
"мотив","могав","алібі","алугі","motive","alibi"
"браво","брімо","альфа","алега","bravo","alpha"
"африка","фaрика","америка","сперика","africa","america"
"аутопсія","пітопсія","аналіз","антиіз","autopsy","analysis"
"карати","покаразо","арешт","арaют","punish","arrest"
"легіон","лезеон","армія","арагя","legion","army"
"вена","ірна","артерія","артеття","vein","artery"
"кавалерія","кавалеття","артилерія","аровлерія","cavalry","artillery"
"інженер","іновнер","архітектор","арейтектор","engineer","architect"
"вторгнення","втрігніння","атакувати","ідакувати","invasion","attack"
"тихоокеанський","тихоокажнський","атлантичний","ввлантичний","pacific","atlantic"
"середовище","середовиог","атмосфера","атмосекла","environment","atmosphere"
"натовп","натомі","аудиторія","cтдиторія","crowd","audience"
"дідусь","діорсь","бабуся","бабуту","grandfather","grandmother"
"шовк","шочю","бавовна","ривовна","silk","cotton"
"бідний","аздний","багатий","пугатий","poor","rich"
"скарбниця","скчебниця","багатство","багаєштво","treasure","wealth"
"туга","мога","бажання","бажаєтя","desire","wish"
"клуб","клед","бар","кюр","club","bar"
"полк","покл","батальйон","бататийон","regiment","battalion"
"дорослий","дорослін","родитель","рожнтель","adult","parent"
"мама","масл","батько","баатко","mother","father"
"одкровення","еркровення","бачення","ничення","revelation","vision"
"нерозумний","нерозвонил","безвідповідальний","безвідповідданное","unreasonable","irresponsible"
"гарантія","гарашкія","безпека","безмова","security","safety"
"сейф","севк","безпечний","безважний","safe","secure"
"прямий","прнсий","безпосередньо","безпространял","direct","directly"
"безпорадний","безсправний","безсилий","бездовий","helpless","powerless"
"стадіон","стадорн","бейсбол","бейссел","stadium","baseball"
"тост","тоно","бекон","беней","toast","bacon"
"супермен","супетрен","бетмен","бегрен","superman","batman"
"війна","візоа","битва","чотва","war","battle"
"галузь","галущо","бізнес","біллес","industry","business"
"страждання","оправдання","біль","маль","suffering","pain"
"хімічний","хіначний","біологічний","біоробітний","chemical","biological"
"хімія","хіхая","біологія","біолягає","chemistry","biology"
"відчинено","відткнень","близький","близнаий","open","close"
"параноїдальний","параноna","божевільний","боцивільний","paranoid","crazy"
"бог","нег","божественний","божествеприй","god","divine"
"волосся","володая","борода","бороят","hair","beard"
"бойовий","ботивий","боротися","боробуся","combat","fight"
"зерно","ісрно","борошно","бородро","grain","flour"
"керівник","жирівник","бос","тус","manager","boss"
"вашингтон","ваюснгтон","бостон","боджон","washington","boston"
"чувак","чусик","брат","брию","dude","bro"
"сестра","вістра","брат","брию","sister","brother"
"лежати","леанти","брехун","бртаун","lie","liar"
"щит","отт","броня","брчiя","shield","armor"
"неприємний","непрошений","брудний","брланий","nasty","filthy"
"башта","баьба","будівля","будійня","tower","building"
"будівельний","будівечнний","будувати","ходувати","construction","build"
"телеграма","телестана","буква","бупна","telegram","letter"
